"_id",saleDate,items.0.name,items.0.tags.0,items.0.tags.1,items.0.tags.2,items.0.tags.3,items.0.price,items.0.quantity,items.1.name,items.1.tags.0,items.1.tags.1,items.1.tags.2,items.1.tags.3,items.1.price,items.1.quantity,items.2.name,items.2.tags.0,items.2.tags.1,items.2.tags.2,items.2.tags.3,items.2.price,items.2.quantity,items.3.name,items.3.tags.0,items.3.tags.1,items.3.tags.2,items.3.tags.3,items.3.price,items.3.quantity,items.4.name,items.4.tags.0,items.4.tags.1,items.4.tags.2,items.4.tags.3,items.4.price,items.4.quantity,items.5.name,items.5.tags.0,items.5.tags.1,items.5.tags.2,items.5.tags.3,items.5.price,items.5.quantity,items.6.name,items.6.tags.0,items.6.tags.1,items.6.tags.2,items.6.tags.3,items.6.price,items.6.quantity,items.7.name,items.7.tags.0,items.7.tags.1,items.7.tags.2,items.7.tags.3,items.7.price,items.7.quantity,items.8.name,items.8.tags.0,items.8.tags.1,items.8.tags.2,items.8.tags.3,items.8.price,items.8.quantity,items.9.name,items.9.tags.0,items.9.tags.1,items.9.tags.2,items.9.price,items.9.quantity,storeLocation,customer.gender,customer.age,customer.email,customer.satisfaction,couponUsed,purchaseMethod
5bd761dcae323e45a93ccff1,2014-08-18T04:37:26.849Z,pens,writing,office,school,stationary,26.64,2,laptop,electronics,school,office,,1217.84,1,notepad,office,writing,school,,19.45,2,notepad,office,writing,school,,22.33,4,binder,school,general,organization,,16.7,7,binder,school,general,organization,,22.77,9,notepad,office,writing,school,,21.36,4,pens,writing,office,school,stationary,69.88,2,,,,,,,,,,,,,,Denver,M,57,ohaguwu@nufub.gi,3,false,In store
5bd761dcae323e45a93ccff4,2014-08-18T10:42:13.935Z,backpack,school,travel,kids,,187.16,2,printer paper,office,stationary,,,20.61,10,notepad,office,writing,school,,23.75,5,envelopes,stationary,office,general,,9.44,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Diego,F,59,la@cevam.tj,4,false,In store
5bd761dcae323e45a93ccffd,2015-07-27T20:05:46.464Z,printer paper,office,stationary,,,20.97,3,binder,school,general,organization,,22.96,9,notepad,office,writing,school,,19.32,1,backpack,school,travel,kids,,55.55,5,pens,writing,office,school,stationary,71.57,3,pens,writing,office,school,stationary,57.58,1,binder,school,general,organization,,24.18,8,laptop,electronics,school,office,,910.07,1,envelopes,stationary,office,general,,16.13,6,envelopes,stationary,office,general,12.73,10,Denver,F,31,fimpig@an.is,5,false,In store
5bd761dcae323e45a93cd005,2016-05-16T01:49:20.963Z,binder,school,general,organization,,22.16,3,laptop,electronics,school,office,,1588.12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle,M,49,me@lih.st,4,false,Phone
5bd761dcae323e45a93cd012,2016-02-24T10:22:53.004Z,pens,writing,office,school,stationary,15.57,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,London,F,74,wapunu@ba.bm,1,false,Online
5bd761dcae323e45a93cd018,2017-09-28T08:35:45.703Z,laptop,electronics,school,office,,1531.69,5,printer paper,office,stationary,,,37.0,10,binder,school,general,organization,,25.02,10,binder,school,general,organization,,17.1,7,notepad,office,writing,school,,6.1,2,pens,writing,office,school,stationary,5.65,4,notepad,office,writing,school,,10.6,5,,,,,,,,,,,,,,,,,,,,,London,M,71,ep@jedofi.gd,5,false,Online
5bd761dcae323e45a93cd01b,2017-03-24T07:35:43.837Z,notepad,office,writing,school,,6.83,2,laptop,electronics,school,office,,1586.7,5,backpack,school,travel,kids,,125.22,3,notepad,office,writing,school,,28.62,1,pens,writing,office,school,stationary,20.31,5,notepad,office,writing,school,,11.3,3,binder,school,general,organization,,18.94,4,,,,,,,,,,,,,,,,,,,,,Denver,F,48,atrufsu@jiklean.uy,4,false,Online
5bd761dcae323e45a93cd01c,2016-01-19T20:06:31.410Z,notepad,office,writing,school,,20.28,5,printer paper,office,stationary,,,11.99,7,envelopes,stationary,office,general,,15.65,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin,F,29,gi@ibiizabu.com,4,false,In store
5bd761dcae323e45a93cd01e,2016-02-27T10:29:30.758Z,backpack,school,travel,kids,,134.93,3,envelopes,stationary,office,general,,20.99,1,notepad,office,writing,school,,34.21,3,envelopes,stationary,office,general,,17.34,7,notepad,office,writing,school,,15.91,4,binder,school,general,organization,,22.84,2,notepad,office,writing,school,,19.35,4,pens,writing,office,school,stationary,72.56,4,,,,,,,,,,,,,,Austin,M,24,kabupta@voc.bi,4,false,Online
5bd761dcae323e45a93cd028,2015-08-13T22:50:27.807Z,envelopes,stationary,office,general,,20.88,3,notepad,office,writing,school,,11.02,5,binder,school,general,organization,,21.97,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austin,F,44,midro@te.cy,5,false,Phone
